# {"t_start": 1548777949.9553475, "env_id": "PongNoFrameskip-v4"} 
r,l,t
20.0,1719,11502.177075
19.0,2007,11520.532414
21.0,1632,11535.277643
20.0,1812,11551.688869
19.0,1863,11568.531778
21.0,1631,11583.268954
20.0,1722,11599.017458
19.0,1833,11615.646779
20.0,1721,11631.325691
19.0,1751,11647.065106
21.0,1631,11661.927015
20.0,1687,11677.318751
21.0,1627,11692.073591
19.0,1720,11707.601712
20.0,1899,11724.693152
20.0,1669,11739.761327
18.0,1821,11756.262122
21.0,1625,11771.165053
19.0,1781,11787.41855
21.0,1630,11802.231573
21.0,1628,11817.002612
21.0,1656,11832.062728
20.0,1802,11848.493885
18.0,1801,11864.865739
20.0,1664,11880.027472
21.0,1632,11894.880962
19.0,1884,11911.91399
20.0,1712,11927.377869
20.0,1728,11943.050155
19.0,1715,11958.655862
20.0,1878,11975.697907
20.0,1694,11991.098377
20.0,1684,12006.384799
20.0,1681,12021.643836
21.0,1631,12036.512228
19.0,1862,12053.45607
21.0,1631,12068.366223
21.0,1630,12083.109404
20.0,1721,12098.764685
19.0,1957,12116.499976
21.0,1629,12131.255487
20.0,1803,12147.679352
19.0,1808,12164.129732
20.0,1725,12179.715139
20.0,1667,12194.903182
20.0,1662,12209.990559
19.0,1800,12226.471969
19.0,1869,12243.442073
18.0,2075,12262.230503
20.0,1789,12278.499196
20.0,1658,12293.563206
19.0,1835,12310.144541
20.0,1662,12325.367783
19.0,1838,12341.861212
18.0,1868,12358.875985
20.0,1778,12375.004622
14.0,1948,12392.595795
20.0,1744,12408.488565
17.0,2013,12426.738128
20.0,1690,12441.995528
20.0,1666,12457.249506
19.0,1800,12473.608809
20.0,1745,12489.495811
19.0,1854,12506.429327
20.0,1720,12522.102561
20.0,1807,12538.419049
20.0,1663,12553.486653
19.0,1852,12570.239426
21.0,1631,12585.085449
21.0,1768,12601.08216
20.0,1783,12617.296834
20.0,1805,12633.649323
20.0,1806,12650.161832
20.0,1837,12666.842142
21.0,1811,12683.322757
18.0,1910,12700.75196
20.0,1693,12716.033671
21.0,1632,12730.958721
14.0,2000,12749.405644
20.0,1683,12764.664477
20.0,1811,12781.094212
19.0,1895,12798.363567
21.0,1631,12813.119728
21.0,1667,12828.351861
19.0,1712,12843.716091
18.0,1875,12860.704338
17.0,1951,12878.501251
18.0,1796,12894.863299
20.0,1664,12909.927797
20.0,1663,12924.990238
18.0,1846,12941.711938
19.0,1753,12957.651752
20.0,1890,12974.866704
19.0,1775,12990.940613
20.0,1659,13006.086803
20.0,1722,13021.786767
21.0,1632,13036.653234
20.0,1690,13051.95066
19.0,1772,13067.9952
18.0,1828,13084.612005
17.0,1913,13101.909041
19.0,1788,13118.053916
21.0,1685,13133.365974
18.0,1820,13149.816802
21.0,1628,13164.608503
20.0,1663,13179.688853
21.0,1630,13194.594498
20.0,1659,13209.82584
21.0,1625,13224.513754
19.0,1761,13240.511616
16.0,1845,13257.125724
16.0,1991,13275.122338
20.0,1693,13290.509986
20.0,1697,13305.805423
19.0,1701,13321.167133
20.0,1664,13336.291231
17.0,1985,13354.210132
20.0,1716,13369.639435
19.0,1737,13385.358696
20.0,1853,13402.15842
19.0,1944,13419.971327
20.0,1705,13435.511834
21.0,1628,13450.307868
20.0,1750,13466.121551
20.0,1662,13481.144827
19.0,1854,13498.148994
20.0,1656,13513.206344
20.0,1745,13528.90538
20.0,1785,13545.056581
18.0,1866,13561.865216
21.0,1633,13576.765209
21.0,1630,13591.551562
20.0,1792,13607.86549
17.0,1970,13625.628761
19.0,1758,13641.575454
21.0,1758,13657.408284
20.0,1733,13673.117069
19.0,1791,13689.330043
19.0,1929,13706.876796
21.0,1626,13721.723438
20.0,1692,13737.151712
20.0,1923,13754.605028
20.0,1751,13770.477223
21.0,1628,13785.250138
20.0,1656,13800.216054
20.0,1662,13815.307096
20.0,1657,13830.383412
20.0,1959,13848.200884
20.0,1912,13865.692903
19.0,1764,13881.741224
19.0,1774,13897.820289
20.0,1723,13913.40716
20.0,1665,13928.592144
19.0,1973,13946.444901
20.0,1720,13962.13325
-2.0,2427,13984.158049
21.0,1628,13998.996094
21.0,1634,14013.809899
21.0,1636,14028.653823
18.0,1817,14045.185121
20.0,1903,14062.552415
19.0,1874,14079.629844
20.0,1830,14096.250829
21.0,1630,14111.093717
21.0,1627,14125.838594
20.0,1722,14141.500047
21.0,1632,14156.266506
19.0,1773,14172.387964
21.0,1630,14187.22635
20.0,1874,14204.274614
20.0,1725,14220.002831
19.0,1778,14236.089334
21.0,1692,14251.42781
16.0,1921,14268.772488
21.0,1626,14283.601213
20.0,1683,14298.944718
21.0,1627,14313.652127
20.0,1695,14329.037976
21.0,1630,14343.742919
17.0,1976,14361.669245
19.0,1767,14377.717887
20.0,1690,14393.006009
21.0,1629,14407.800766
20.0,1701,14423.227386
18.0,1868,14440.17913
21.0,1621,14455.026648
20.0,1776,14471.212548
19.0,1724,14486.959849
17.0,2067,14505.793143
21.0,1766,14521.863603
17.0,2106,14541.024209
20.0,1697,14556.441958
19.0,1783,14572.568737
20.0,1722,14588.119809
20.0,1724,14603.927991
20.0,1723,14619.571663
20.0,1690,14634.917745
20.0,1661,14650.045305
18.0,1911,14667.466188
20.0,1789,14683.73738
20.0,1669,14698.826742
21.0,1630,14713.711613
21.0,1894,14730.910463
20.0,1719,14746.546077
16.0,2095,14765.610619
19.0,1790,14781.831913
20.0,1721,14797.59254
20.0,1724,14813.169714
20.0,1660,14828.152431
21.0,1630,14842.959381
17.0,2214,14863.051453
18.0,1878,14880.090894
20.0,1920,14897.60429
20.0,1869,14914.586681
20.0,1693,14929.884452
21.0,1631,14944.765898
20.0,1745,14960.74307
20.0,1662,14975.762229
20.0,1814,14992.155998
20.0,1748,15008.044091
20.0,1724,15023.792311
20.0,1805,15040.283204
20.0,1744,15056.141201
19.0,1845,15072.951274
21.0,1635,15087.794158
21.0,1631,15102.71272
21.0,1626,15117.535245
20.0,1696,15133.028159
20.0,1691,15148.355384
21.0,1628,15163.286604
21.0,1630,15178.125613
18.0,1908,15195.624547
19.0,1764,15211.658527
19.0,1904,15228.963918
19.0,1784,15245.219901
20.0,1743,15261.018517
21.0,1633,15275.845826
20.0,1726,15291.504545
18.0,1766,15307.540393
21.0,1630,15322.30757
20.0,1694,15337.675704
20.0,1746,15353.484042
18.0,1955,15371.381895
20.0,1662,15386.392045
20.0,1667,15401.484802
18.0,1812,15417.970662
20.0,1701,15433.416757
20.0,1658,15448.491863
16.0,2133,15467.742781
18.0,1758,15483.618359
21.0,1627,15498.370529
19.0,1816,15515.084485
20.0,1757,15531.053442
20.0,1702,15546.462037
20.0,1690,15561.907726
18.0,1812,15578.365026
19.0,1821,15594.926629
19.0,1745,15610.847592
20.0,1693,15626.309766
20.0,1719,15641.869245
20.0,1656,15656.933626
20.0,1665,15671.985054
21.0,1634,15686.721048
20.0,1759,15702.509909
20.0,1807,15718.809014
21.0,1629,15733.771239
21.0,1633,15748.723157
20.0,1719,15764.326743
21.0,1692,15779.637822
20.0,1731,15795.382293
21.0,1633,15810.153216
21.0,1633,15824.880064
